Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
64.26705.6DL,CHIP RES 267 F 1/16W 0402,1,402,16,267,0.01
64.27015.6DL,CHIP RES 2.7K F 1/16W 0402,1,402,16,2700,0.01
64.27025.6DL,CHIP RES 27K F 1/16W 0402,1,402,16,27000,0.01
64.27405.6DL,CHIP RES 274 F 1/16W 0402,1,402,16,274,0.01
64.27425.6DL,CHIP RES 27.4K F 1/16W 0402,1,402,16,27400,0.01
64.28015.6DL,CHIP RES 2.8K F 1/16W 0402,1,402,16,2800,0.01
64.28715.6DL,CHIP RES 2.87K F 1/16W 0402,1,402,16,2870,0.01
64.29425.6DL,CHIP RES 29.4K F 1/16W 0402,1,402,16,29400,0.01
64.2R005.6DL,CHIP RES 2 F 1/16W 0402,1,402,16,2,0.01
64.2R205.55L,CHIP RES 2.2 F 1/10W 0603,1,603,10,2.2,0.01
64.2R205.6DL,CHIP RES 2.2 F 1/16W 0402,1,402,16,2.2,0.01
64.2R205.L0L,CHIP RES 2.2 F 1/10W 0603 13 REEL,1,603,10,2.2,0.01
64.30115.6DL,CHIP RES 3.01K F 1/16W 0402,1,402,16,3010,0.01
64.31615.6DL,CHIP RES 3.16K F 1/16W 0402,1,402,16,3160,0.01
64.33015.6DL,CHIP RES 3.3K F 1/16W 0402,1,402,16,3300,0.01
64.36515.6DL,CHIP RES 3.65K F 1/16W 0402,1,402,16,3650,0.01
64.47015.6DL,CHIP RES 4.7K F 1/16W 0402,1,402,16,4700,0.01
64.47515.6DL,CHIP RES 4.75K F 1/16W 0402,1,402,16,4750,0.01
64.4R705.55L,CHIP RES 4.7 F 1/10W 0603,1,603,10,4.7,0.01
64.4R705.6DL,CHIP RES 4.7 F 1/16W 0402,1,402,16,4.7,0.01
64.51025.6DL,CHIP RES 51K F 1/16W 0402,1,402,16,51000,0.01
64.51035.6DL,CHIP RES 510K F 1/16W 0402,1,402,16,510000,0.01
64.51125.6DL,CHIP RES 51.1K F 1/16W 0402,1,402,16,51000,0.01
64.71525.6DL,CHIP RES 71.5K F 1/16W 0402,1,402,16,71500,0.01
64.82015.6DL,CHIP RES 8.2K F 1/16W 0402,1,402,16,8200,0.01
64.84515.6DL,CHIP RES 8.45K F 1/16W 0402,1,402,16,8450,0.01
64.R0005.55L,CHIP RES 0 F 1/10W 0603,1,603,10,0,0.01
64.R0005.6DL,CHIP RES 0 F 1/16W 0402,1,402,16,0,0.01
64.R0015.77L,CHIP RES 0.001 F 1W 2512,1,2512,1,0.001,0.01
64.R0055.7FL,CHIP RES 0.005 F 1W 3720,1,3720,1,0.005,0.01
64.R0105.71L,CHIP RES 0.01 F 1W 1206,1,1206,1,0.01,0.01
